Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Albania,ALB,2016,100,14.30143014,43.12773723,11817,,,,2100,,1110,2.404998173,0.980008799,19.84997587,2354445496,,22.63868613,0.215673928,620300,,698430,4716.4,104.26,40.04000092,45.22999954,36.29000092,,126.1384814,103.11,28.80218978,7891.8,27400,148084,101.41,3.03649635,,,,1195854,41.579,-2.505938185,,28750
Armenia,ARM,2014,99.79554546,9.198548224,59.03407095,16807,,,,780,,880,0.320868137,1.514211781,18.07203635,2098075398,,15.71829996,0.153653186,447500,,574673,3181.6,100.4,34.83000183,40.56999969,29.94000053,,118.6884916,98.31,11.58159466,3297.28,28470,180626,94.97,2.012644889,,,,1074327,36.888,0.650891972,,29740
Bangladesh,BGD,2020,,,,,,,,,,,,,12.64514989,41000529913,,,,,,,,,,,,,,,14.46877161,18834,130170,,,,,,,101815917,61.823,-0.238219997,,
Bulgaria,BGR,2014,100,,45.84561533,49770,,,,1900,,3250,1.453258643,1.110626573,4.522734187,2573525980,,32.11127487,0.482562281,3486000,,9530421,4860.7,100.66,7.010000229,4.559999943,9.180000305,114.932738,108.8032129,100.27,35.13080324,38138,108560,1960700,100.12,1.169859985,,,,1903435,26.349,-1.843022323,,111000
Brazil,BRA,2017,99.16959317,2.914134075,28.34106631,2368786,,,,335960,,171310,4.684910202,1.275460311,4.600591696,94933571473,60.03258172,6.671580041,0.268300889,55762000,1761,117979368,5209.5,109.68,9.460000038,4.260000229,13.27999973,576.0438121,297.3863762,106.98,59.83288148,5000916,8358140,22646962,102.42,0.927933727,,,,28454529,13.691,-1.124267242,,8515770
IDA total,IDA,2016,41.14414502,,39.81688135,9950187.821,,,,858930,,489440,2.998506618,1.580539426,21.81994897,4.36822E+11,,11.55587723,0.181690896,,,319859769,2019.850688,,51.28122021,56.69008709,47.70176478,179.0987396,42.87974072,,26.22330994,6553171.679,25000759.34,158358185,,1.486738269,,,,998304272,63.99176749,1.515620405,,25544480.27
Least developed countries: UN classification,LDC,2012,28.85694627,,37.8044033,7702052.12,,,,566220,,328440,,2.384536285,22.50539868,1.78116E+11,,9.025673915,0.205573823,,,198691616,1991.756117,0.196706201,60.02609131,66.11548754,55.67035548,440.3056626,21.62451205,0.207832094,27.81810904,5667501.852,20373425.97,99757069,0.196180499,0.778496198,,,,609618423,69.52231767,1.649001787,,20786418.56
Marshall Islands,MHL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.22222222,94,180,,,,,,,13145,22.206,-0.999175673,,
Norway,NOR,2010,100,4.334426881,2.754049348,10059,,,,2510,,2500,0.516561557,1.448963591,1.568602331,6725492899,,2.260406742,0.168860186,825600,,1207112,4003.2,92.03,2.549999952,1.029999971,3.930000067,16.94412043,170.0036337,97.39,33.13401452,121020,365244,301534,98.91,0.012320531,292187.8125,1.711719854,5348.611328,1021756,20.898,-0.118353511,1.557619509,385178
El Salvador,SLV,2017,91.34116605,,71.16891892,14746.2,,,,1460,,1020,0.793007264,2.070259847,5.392966949,1347120000,67.56373938,30.74324324,0.099716286,637000,1784,1030124,2909.7,107.09,18.57999992,3.960000038,29.17000008,,131.096044,102.7,28.83108108,5973.8,20720,354029,97.03,11.1969112,,,,1834989,28.725,-2.156857248,,21040
South Sudan,SSD,2018,4.695468863,,45.15260353,285332,,,,26610,,22750,,,,,,,,,,745000,741.5,88.9,60.84000015,73.70999908,48.63000107,,,98.52,11.32565515,71570,631928.123,1004675,101.7,,,,,8822997,80.385,0.261261401,,633906.576
St. Vincent and the Grenadines,VCT,2011,94.49670741,,17.94871795,70,,,,10,,10,0.020835912,1.305608987,6.360822766,43007407.41,,5.128205128,0.018464663,2000,,691,27640,100.79,12.18999958,5.590000153,16.69000053,,,100.85,73.17948718,285.4,390,25,101.58,7.692307692,,,,54855,50.644,-0.726549377,,390
World,WLD,2013,74.12475673,,36.87101699,47877732.99,,,,3405660,,2208840,1.555505716,1.569831279,3.6849047,3.23304E+12,,10.68044517,0.19284648,,,2770739457,3824.244302,0.198165979,30.33981145,29.13849488,31.10622356,93.99923131,134.5540279,0.215020722,30.79467396,40057482,129863403.1,724518874,0.193262379,1.273870893,,,,3368456840,46.99415642,0.223031071,,134543260.1
Central Europe and the Baltics,CEB,2015,100,,46.93262058,519245.9,,,,37280,,45540,1.606103865,1.514993345,2.884986112,37465129287,,32.93971987,0.352935174,,,96099252,4255.412411,,11.3923774,9.989440308,12.5409957,74.10541881,127.17797,,34.32355844,379743.7,1106364.6,22582857,,1.234493584,,,,39092740,37.85932754,-0.301418515,,1166954
Cyprus,CYP,2012,100,20.95808383,12.65151515,1169,,,,180,,250,1.84720512,0.74194623,2.006895095,501292560.7,67.32283465,9.285714286,0.07559165,85800,498,90747,2399.3,104.51,2.910000086,1.850000024,3.799999952,,196.5268065,105.44,18.7,1727.88,9240,37822,105.85,3.084415584,,,,371603,32.739,1.347564254,,9250
Dominican Republic,DOM,2015,93.91660825,,50.27944525,24290,,,,6000,,2750,0.818061596,1.325868805,5.484695931,3903174275,,18.15359139,0.085297386,877000,,571746,3101.5,98.7,9.720000267,1.470000029,14.72000027,,134.1668985,99.54,43.54481474,21036.5,48310,184342,101.17,7.348375078,,,,2203774,21.434,-2.955782422,,48670
Eritrea,ERI,2016,30.57391572,,75.16831683,75920,,,,2980,,1610,,,,,,6.831683168,0.20435011,690000,,304510,642.8,100.91,64.66000366,70.26999664,59.88000107,,2.787304348,100.65,10.57326733,10679,101000,473714,100.51,0.01980198,,,,,,,,117600
