Country Name,Country Code,Year,average_value_DEC alternative conversion factor (LCU per US$),average_value_Discrepancy in expenditure estimate of GDP (current LCU),average_value_GDP (constant 2010 US$),average_value_GDP (constant LCU),average_value_GDP (current LCU),average_value_GDP (current US$),average_value_GDP deflator (base year varies by country),average_value_GDP growth (annual %),average_value_GDP per capita (constant 2010 US$),average_value_GDP per capita (constant LCU),average_value_GDP per capita (current LCU),average_value_GDP per capita (current US$),average_value_GDP per capita growth (annual %),"average_value_GDP per capita, PPP (constant 2017 international $)","average_value_GDP per capita, PPP (current international $)","average_value_GDP, PPP (constant 2017 international $)","average_value_GDP, PPP (current international $)",average_value_GDP: linked series (current LCU),average_value_GNI (constant 2010 US$),average_value_GNI (current LCU),average_value_GNI (current US$),average_value_GNI per capita (constant 2010 US$),average_value_GNI per capita (current LCU),"average_value_GNI per capita, Atlas method (current US$)","average_value_GNI per capita, PPP (constant 2017 international $)","average_value_GNI per capita, PPP (current international $)","average_value_GNI, Atlas method (current US$)","average_value_GNI, PPP (constant 2017 international $)","average_value_GNI, PPP (current international $)",average_value_GNI: linked series (current LCU),average_value_Gross domestic savings (% of GDP),average_value_Gross domestic savings (current LCU),average_value_Gross domestic savings (current US$),average_value_Gross savings (% of GDP),average_value_Gross savings (% of GNI),average_value_Gross savings (current LCU),average_value_Gross savings (current US$),average_value_Gross value added at basic prices (GVA) (constant LCU),average_value_Gross value added at basic prices (GVA) (current LCU),average_value_Gross value added at basic prices (GVA) (current US$),average_value_Net primary income (Net income from abroad) (current LCU),average_value_Net primary income (Net income from abroad) (current US$),average_value_Net secondary income (Net current transfers from abroad) (current LCU),average_value_Net secondary income (Net current transfers from abroad) (current US$),"average_value_PPP conversion factor, GDP (LCU per international $)","average_value_PPP conversion factor, private consumption (LCU per international $)",average_value_Price level ratio of PPP conversion factor (GDP) to market exchange rate,average_value_Taxes less subsidies on products (constant LCU),average_value_Taxes less subsidies on products (current LCU),average_value_Taxes less subsidies on products (current US$)
Belgium,BEL,2018,0.847186371,0,5.37421E+11,4.36489E+11,4.6037E+11,5.43411E+11,105.4711078,1.787920078,47030.58215,38197.88547,40287.73295,47554.74631,1.325649934,51110.95847,52662.53293,5.84048E+11,6.01778E+11,4.6037E+11,5.42648E+11,4.6491E+11,5.4877E+11,47487.98598,40685.05321,46060,51599.10585,53180,5.26307E+11,5.89626E+11,6.07712E+11,4.6491E+11,25.2226198,1.16117E+11,1.37062E+11,24.72905901,24.48756108,1.13845E+11,1.3438E+11,3.89629E+11,4.10567E+11,4.84624E+11,4490900000,5300958742,-6664300000,-7866391891,0.765017,0.843869,0.903009097,46910700000,49856600000,58849624711
Canada,CAN,2017,1.297935846,-809000000,1.87206E+12,2.07149E+12,2.14064E+12,1.64927E+12,103.3383677,3.039880225,51225.67348,56682.73144,58575.00945,45129.35644,1.811114549,48317.09658,48317.09658,1.76576E+12,1.76576E+12,2.14064E+12,1.84883E+12,2.11342E+12,1.62829E+12,50590.19967,57830.09824,42900,47702.63749,47700,1.56776E+12,1.74331E+12,1.74331E+12,2.11342E+12,21.32043626,4.56394E+11,3.51631E+11,19.84528099,20.10090864,4.24816E+11,3.27301E+11,1.93671E+12,1.99546E+12,1.53741E+12,-27223000000,-20974072081,-4366000000,-3363802619,1.212304,1.298456,0.934024592,,1.49108E+11,1.14881E+11
"Egypt, Arab Rep.",EGY,2019,17.56,0,3.02183E+11,3.8575E+12,5.3221E+12,3.03081E+11,137.9675956,5.557683888,3010.15283,38425.87839,53015.2605,3019.092283,3.492046874,11763.25328,12260.72054,1.18089E+12,1.23083E+12,5.3221E+12,2.91147E+11,5.12877E+12,2.92071E+11,2900.21513,51089.44835,2690,11335.87708,11820,2.69856E+11,1.13799E+12,1.18612E+12,5.12877E+12,9.973506698,5.308E+11,30227790433,15.18327142,15.75560346,8.08069E+11,46017590433,3.78371E+12,5.17011E+12,2.94425E+11,-1.93329E+11,-11009600000,4.40995E+11,25113600000,4.323992243,4.079985839,0.246241016,,1.51993E+11,8655632118
Guinea-Bissau,GNB,2019,585.911,-100,1190061574,5.10996E+11,8.435E+11,1439638443,165.0696735,4.499999992,619.5278475,266016.8794,439113.1944,749.453747,1.964201464,1939.28951,2021.301943,3725214187,3882753264,8.435E+11,1215802511,8.613E+11,1470018484,632.9281854,448379.602,800,1980.343423,2060,1535323264,3804075347,3964689255,8.613E+11,5.520719538,46567269300,79478400.82,11.55270522,11.313952,97447068556,166317185.6,5.03331E+11,8.00449E+11,1366161328,17800000000,30380040.65,33100000000,56493221.67,217.2427509,224.028596,0.370777731,7664945200,43051049900,73477114.95
"Hong Kong SAR, China",HKG,2016,7.7623,0,2.70123E+11,2.71034E+12,2.49044E+12,3.20838E+11,91.88668859,2.169494388,36818.51315,369426.7099,339453.9705,43731.10682,1.538646571,58096.29926,57221.41376,4.26229E+11,4.19811E+11,2.49044E+12,,2.55303E+12,3.28901E+11,,347985.5792,42970,,58660,3.1526E+11,,4.30362E+11,2.55303E+12,23.79195949,5.92524E+11,76333560929,25.46327216,24.83898573,6.34147E+11,81695761031,,2.41785E+12,3.11486E+11,62593000000,8063718228,-20969000000,-2701390052,5.932289124,6.293216228,0.764243732,96622000000,83743000000,10788426111
Honduras,HND,2015,21.9452,-100000,18839040425,1.90096E+11,4.60405E+11,20979767785,242.1956439,3.840079971,2067.292756,20860.13416,50522.33624,2302.204411,2.04738682,5283.416914,4823.395396,48147271125,43955139193,4.60405E+11,17551308894,4.29018E+11,19549500574,1925.984175,47078.0445,2060,4927.099479,4490,18753392992,44900184553,40958557201,4.29018E+11,8.187092587,37693800000,1717633013,19.67535323,21.11482799,90586349404,4127843419,1.73616E+11,4.19268E+11,19105243971,-31387500000,-1430267211,84279953400,3840473242,10.4744339,10.72263527,0.477299542,16480900000,41136800000,1874523814
Lesotho,LSO,2016,14.7075,-257453900,2749535977,22504257300,31096417200,2114323794,138.1801531,3.588364597,1325.051397,10845.21091,14985.92905,1018.931093,2.788129091,2776.740984,2990.283703,5761851388,6204961285,31096417200,3147131821,35311909100,2400945715,1516.660066,17017.45127,1270,3165.809722,3400,2642749790,6569184971,7046118126,35311909100,-16.81090193,-5227588200,-355436899.5,19.37426305,17.06138757,6024701669,409634653.7,22021934300,27875036600,1895294006,4215491900,286621920.8,7176404100,487941805.2,5.01154089,4.927979469,0.340747298,2537743500,3466113800,235669814.7
Maldives,MDV,2010,12.8,,2588176055,44373263000,33128653500,2588176055,74.65904299,7.265129068,7076.739821,121327.9277,90582.26971,7076.739821,3.646217774,16305.79888,12712.34321,5963519824,4649285283,33128653500,2276923141,29144616200,2276923141,6225.694202,79688.88579,5960,,11180,2179912769,,4090164280,29144616200,,,,,,,,40077683500,30730100100,2400789070,-3984037300,-311252914.1,,,7.125536826,8.167084258,0.556682565,4295579500,2398553400,187386984.4
Middle income,MIC,2020,,,2.96606E+13,,,3.04331E+13,,-1.929644122,5075.108701,,,5207.289024,-2.905634434,11209.93315,11815.91343,6.55145E+13,6.9056E+13,,,,3.00449E+13,,,5307.829757,10791.45245,11649.34141,3.10207E+13,6.30688E+13,6.80825E+13,,,,1.11151E+13,,,,,,,,,,,,,,,,,
Mozambique,MOZ,2017,63.5843,0,16894865892,6.38488E+11,8.40526E+11,13219084261,131.6433152,3.741317593,589.7190745,22286.55191,29338.75577,461.4150941,0.77534648,1283.65987,1283.65987,36775580596,36775580596,8.40526E+11,16370007832,8.15505E+11,12825576694,571.3987864,28465.39554,470,1245.447702,1250,13365347252,35680839919,35680839919,8.15505E+11,10.62558626,89310838500,1404605201,12.47179201,12.85444495,1.04829E+11,1648656695,5.70362E+11,7.56527E+11,11898015807,-25020903100,-393507565.5,40538746600,637559061,22.85555267,21.98801994,0.359452769,68125271500,83999212900,1321068454
New Caledonia,NCL,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3638363,,,,
Oman,OMN,2011,0.3845,-55717202.03,58426309456,22464915986,26096748386,67871907375,116.1666859,2.658868673,17971.23236,6909.938841,8027.046948,20876.58504,-3.96171014,32523.35125,43425.16851,1.05737E+11,1.4118E+11,26096748386,54362135301,24505748386,63734066023,16721.14111,7537.674421,17010,30121.40751,40780,55317440045,97927768212,1.32573E+11,24505748386,51.23921859,13371769950,34777034981,34.51299686,36.75370288,9006769950,23424629259,,27441151143,71368403493,-1591000000,-4137841352,-2848445468,-7408180672,0.184847802,0.20478335,0.48074851,-913462649.1,-1344402757,-3496496118
Slovenia,SVN,2014,0.753730737,1000,48102848757,38012533000,37634292000,49930685013,99.00495713,2.768158831,23328.47494,18434.96688,18251.53105,24214.92207,2.667134059,33098.94416,30870.02367,68249360883,63653371400,37634292000,47662857246,37288910000,49472455061,23115.09192,18084.03088,23610,32798.17347,30590,48673696640,67629177731,63069203942,37288910000,26.12776135,9832998000,13045770221,24.44239394,24.66878733,9198721907,12204254727,32883155000,32531992000,43161291447,-345370000,-458214032.1,-262080000,-347710378.8,0.591238,0.66613,0.784415404,5129474000,5102300000,6769393566
Turkmenistan,TKM,2012,2.85,23500313100,28778101991,37278476100,1.00218E+11,35164210526,268.8360965,11.09999996,5462.911068,7076.526441,19024.25746,6675.178055,9.121127712,10604.00041,12057.18224,55860877402,63516102658,1.00218E+11,,90730350000,31835210526,,17223.22874,5560,,10920,29302609104,,57503025652,90730350000,78.98103045,79153209100,27773055825,,,,,,,,-9487650000,-3329000000,390450000,137000000,1.577836105,1.472659577,0.553626703,,,
Curacao,CUW,2017,1.79,,,3899819400,5578732100,3116610112,143.0510372,-1.73976542,,24347.24145,34828.98143,19457.53152,-2.05324118,25475.48966,25475.48966,4080536557,4080536557,5578732100,,5626532100,3143314022,,35127.40503,19100,25693.77016,25690,3059841924,4115499635,4115499635,5626532100,,,,,,,,,4925355300,2751595140,47800000,26703910.61,-55460000,-30983240.22,1.367156506,1.482931376,0.763774584,,653376800,365014972.1
France,FRA,2010,0.755044952,-1000000,2.64261E+12,2.08882E+12,1.99529E+12,2.64261E+12,95.52251793,1.949437623,40638.33525,32122.02793,30683.76989,40638.33525,1.447008132,42147.67168,35930.3144,2.74076E+12,2.33646E+12,1.99529E+12,2.70378E+12,2.04148E+12,2.70378E+12,41579.03246,31394.03857,43850,43115.35576,36760,2.85117E+12,2.80368E+12,2.39054E+12,2.04148E+12,20.65505298,4.12128E+11,5.45832E+11,21.08428159,20.60726412,4.20692E+11,5.57175E+11,1.86406E+12,1.79779E+12,2.38104E+12,46187000000,61171192362,-36545000000,-48401091754,0.85398,0.89684,1.131031997,2.25221E+11,1.97499E+11,2.61573E+11
Hungary,HUN,2020,307.9966667,0,1.63261E+11,3.90214E+13,4.77435E+13,1.55013E+11,122.3518695,-4.956748517,16745.08572,4002296.569,4896884.673,15899.14828,-4.748350156,31007.76841,33084.09623,3.02318E+11,3.22562E+11,4.77435E+13,,,,,,,,,,,,,29.7738612,1.42151E+13,46153333911,,,,,,,,,,,,148.013252,165.665257,0.480567707,6.10633E+12,7.38665E+12,23982876438
Ireland,IRL,2018,0.847186371,2245005000,3.71938E+11,3.17486E+11,3.26986E+11,3.85967E+11,102.9923306,8.516395723,76415.36462,65228.11463,67179.95544,79297.7292,7.180306066,84303.34089,84910.55245,4.10331E+11,4.13286E+11,3.26986E+11,2.89362E+11,2.57456E+11,3.03895E+11,59450.09747,52894.86115,60450,66460.91118,66860,2.94228E+11,3.23486E+11,3.25406E+11,2.57456E+11,57.84128811,1.89133E+11,2.23248E+11,35.4348105,45.00454181,1.15867E+11,1.36767E+11,2.95424E+11,3.03076E+11,3.57744E+11,-69530813000,-82072629319,-3640185000,-4296793627,0.791185,0.988587,0.933897224,21276878000,21453174000,25322850711
Lower middle income,LMC,2014,,,6.27713E+12,,,6.56146E+12,,5.578824776,2052.522923,,,2145.495731,4.02318016,5967.925283,6082.520848,1.82514E+13,1.86019E+13,,6.19726E+12,,6.48617E+12,2026.408474,,2160.536902,5886.32425,6013.666014,6.60746E+12,1.80018E+13,1.83913E+13,,27.41714132,,1.7701E+12,28.99176381,28.96899727,,,,,6.23336E+12,,,,,,,,,,
Moldova,MDA,2013,12.5868,0,8000819052,98964531100,1.19533E+11,9496684701,120.7835471,9.043865482,2798.769176,34618.81556,41813.83339,3322.038436,9.0730843,9817.296297,8381.671833,28064626385,23960618216,1.19533E+11,8770435724,1.30791E+11,10391091747,3067.98904,45751.90108,3620,10735.73531,9170,10360129485,30690160631,26217252654,1.30791E+11,-6.563869783,-7845982000,-623350017.5,19.72243037,18.0248339,23574787256,1872977028,85043396900,1.02742E+11,8162668510,11257722600,894407045.5,20169294100,1602416349,4.988722324,5.946950436,0.396345562,13892939400,16790995000,1334016192
Northern Mariana Islands,MNP,2018,1,,1059000000,1059000000,1302000000,1302000000,122.9461756,-19.34501142,18615.19802,18615.19802,22886.67405,22886.67405,-19.82137902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,2010,1.387833828,1000000,1.46518E+11,2.20895E+11,2.03342E+11,1.46518E+11,92.05369108,1.527994135,33676.77412,50772.28929,46737.76634,33676.77412,0.405531884,37657.1432,31239.19131,1.63835E+11,1.35912E+11,2.03342E+11,1.39235E+11,1.93234E+11,1.39235E+11,32002.78794,44414.55168,29680,35862.89854,29690,1.29124E+11,1.56029E+11,1.29156E+11,1.93234E+11,22.47100943,45693000000,32923970499,17.52605991,18.44280448,35637840745,25678752048,2.025E+11,1.87489E+11,1.35095E+11,-10107859000,-7283191113,-175824000,-126689518.9,1.496126,1.59442,1.078029639,18059767000,15938000000,11484083816
Romania,ROU,2020,4.244,0,2.2497E+11,4.4614E+11,1.05555E+12,2.48716E+11,236.5958668,-3.859373593,11664.85172,23132.69494,54731.00011,12896.08862,-3.433034557,28832.62315,31945.74966,5.5607E+11,6.1611E+11,1.05555E+12,2.20879E+11,1.03781E+12,2.44536E+11,11452.7491,53811.28982,12570,28326.35556,31410,2.42427E+11,5.46306E+11,6.05756E+11,1.03781E+12,20.04208616,2.11554E+11,49847785108,19.28419862,19.61379258,2.03554E+11,47962800932,3.95889E+11,9.61617E+11,2.26583E+11,-17737645700,-4179464114,9611317700,2264683718,1.713248263,1.952095677,0.40368715,50560500000,93932000000,22132893497
South Asia,SAS,2014,,,2.59442E+12,,,2.58455E+12,,6.992835859,1501.720479,,,1496.00791,5.638389816,4859.310249,4934.334508,8.3951E+12,8.52471E+12,,2.57447E+12,,2.56604E+12,1490.173369,,1480.772048,4820.713559,4897.184598,2.55823E+12,8.32842E+12,8.46053E+12,,28.29895962,,7.29629E+11,31.93346138,32.1822917,,,,,2.39896E+12,,,,,,,,,,
Slovenia,SVN,2012,0.778293601,0,47293940819,37373306000,36253272000,46580457470,97.00311768,-2.639438757,22989.92971,18167.43674,17622.98004,22643.10025,-2.84370502,32618.60888,29042.82027,67101664827,59745699110,36253272000,46569594017,35688010000,45854173714,22637.81945,17348.20206,23250,32120.96805,28590,47823727276,66077938516,58814142549,35688010000,22.15801376,8033005000,10321304178,20.36761944,20.69022194,7383928476,9487330311,32011135000,31475162000,40441244722,-565250000,-726268337.5,-348880000,-448262711.4,0.606793,0.677672,0.779645366,5383201000,4778110000,6139212749
East Asia & Pacific (IDA & IBRD countries),TEA,2015,,,1.1199E+13,,,1.32616E+13,,6.615551657,5563.41663,,,6588.031586,5.849257381,11747.62996,11919.00431,2.36477E+13,2.39927E+13,,1.1221E+13,,1.31837E+13,5574.333142,,6538.070695,11599.60768,11824.75809,1.3161E+13,2.33498E+13,2.3803E+13,,42.2842692,,5.73518E+12,42.0667767,43.11520157,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,2019,,,1.43077E+13,,,1.71234E+13,,5.69315574,6918.652884,,,8280.234696,5.084519428,14566.84478,15182.87438,3.0124E+13,3.13979E+13,,1.44064E+13,,1.70415E+13,6966.385728,,8371.225528,14467.56919,15086.89329,1.73115E+13,2.99187E+13,3.11994E+13,,40.72085635,,7.11598E+12,40.75100103,41.67386109,,,,,,,,,,,,,,,
Thailand,THA,2016,35.2964,-2.25664E+11,4.08067E+11,9.8485E+12,1.45903E+13,4.13366E+11,148.1477792,3.435157717,5916.478454,142791.279,211542.1088,5993.305516,3.050047927,16782.09867,16616.195,1.15748E+12,1.14604E+12,1.45903E+13,,1.3905E+13,3.93949E+11,,201605.1659,5700,,15840,3.93271E+11,,1.09221E+12,1.3905E+13,33.12536235,4.8331E+12,1.36929E+11,30.07650524,31.55894997,4.38826E+12,1.24326E+11,,,,-6.85364E+11,-19417391009,2.40575E+11,6815854875,12.73108006,13.070714,0.36069061,,,
