Country Name,Country Code,Year,"average_value_Adjusted net savings, excluding particulate emission damage (% of GNI)","average_value_Adjusted net savings, excluding particulate emission damage (current US$)",average_value_Adjusted savings: carbon dioxide damage (% of GNI),average_value_Adjusted savings: carbon dioxide damage (current US$),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Adjusted savings: consumption of fixed capital (current US$),average_value_Adjusted savings: education expenditure (% of GNI),average_value_Adjusted savings: education expenditure (current US$),average_value_Adjusted savings: energy depletion (% of GNI),average_value_Adjusted savings: energy depletion (current US$),average_value_Adjusted savings: gross savings (% of GNI),average_value_Adjusted savings: mineral depletion (% of GNI),average_value_Adjusted savings: mineral depletion (current US$),average_value_Adjusted savings: net forest depletion (% of GNI),average_value_Adjusted savings: net forest depletion (current US$),average_value_Adjusted savings: net national savings (% of GNI),average_value_Adjusted savings: net national savings (current US$),average_value_Agricultural methane emissions (% of total),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Aquaculture production (metric tons),"average_value_Bird species, threatened",average_value_Capture fisheries production (metric tons),average_value_Coal rents (% of GDP),average_value_Energy related methane emissions (% of total),"average_value_Fish species, threatened",average_value_Forest rents (% of GDP),"average_value_Mammal species, threatened",average_value_Marine protected areas (% of territorial waters),average_value_Methane emissions (% change from 1990),average_value_Methane emissions (kt of CO2 equivalent),average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Mineral rents (% of GDP),average_value_Natural gas rents (% of GDP),average_value_Nitrous oxide emissions (% change from 1990),average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Nitrous oxide emissions in energy sector (% of total),average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Oil rents (% of GDP),average_value_People practicing open defecation (% of population),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),"average_value_Plant species (higher), threatened",average_value_Population living in areas where elevation is below 5 meters (% of total population),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Terrestrial and marine protected areas (% of total territorial area),average_value_Terrestrial protected areas (% of total land area),average_value_Total fisheries production (metric tons),average_value_Total natural resources rents (% of GDP),average_value_Urban population living in areas where elevation is below 5 meters (% of total population)
Albania,ALB,2019,-2.048033233,-308791103.8,1.328250697,200266281,17.36482909,2618172720,3.303330223,498057828.9,0.82698174,124687724.9,14.20811298,0.011829701,1783616.757,0.027585211,4159145.239,-3.156716107,-475952164.9,,,,,,,0.024377128,,,0.16648548,,,,,,0.02532432,0.021998532,,,,,1.353546427,0,94.75822287,99.18306692,,,,,,,1.591731888,
Armenia,ARM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010683577,99.97118069,93.93674174,,,,,,,,
Azerbaijan,AZE,2013,22.10460482,15481340145,1.637712485,1147000104,4.76450424,3336902486,2.473352305,1732254824,18.57963254,13012565189,44.6524709,0.039369111,27572833.96,0,0,39.88796665,27936223448,,,2870,325,,796,0,,,0.009692534,,,,47740,40700,0.057982751,3.205077223,,3520,,70,23.71279867,0.177024732,89.84894863,92.44169837,,,,,,1121,26.98555118,
Azerbaijan,AZE,2015,12.67420061,6469754073,2.560711354,1307157210,6.965838264,3555826664,3.001922247,1532380564,9.336833936,4766140385,28.59121925,0.055557332,28360153.72,0,0,21.62538099,11039031258,,,3340,561,,594,0,,,0.014486426,,,,45430,38140,0.073185134,2.412985101,,4010,,80,12.06793911,0.088274497,92.42031398,96.11961748,,,,,,1155,14.56859577,
China,CHN,2014,26.74554907,2.80534E+12,3.301905115,3.46337E+11,17.87297091,1.8747E+12,1.79,1.87753E+11,1.185555213,1.24353E+11,47.55544345,0.239363381,25106825047,0,0,29.68237278,3.11338E+12,,,353890,57320504,,16363366,0.794104008,,,0.142252393,,,,1206210,723020,0.358821541,0.119906956,,528020,,47100,0.899303002,0.758538313,91.1813536,82.74794313,,,,,,73683872,2.3143879,
Algeria,DZA,2012,24.93954292,51163222906,1.967858999,4037043059,5.75663859,11809686500,4.4671956,9164407101,19.76650726,40550791970,48.08394197,0.014555794,29861066.13,0.106062194,217585529.8,42.32733156,86834097429,,,5200,2644.001953,,105621,0,,,0.132534587,,,50.24121191,48690,30020,0.142973435,3.595131449,49.94734005,10030,,3230,26.16948914,1.977114639,92.74518845,87.0935433,,,,,,108265,30.04012861,
Haiti,HTI,2010,18.64974336,2179010991,0.519704871,60721619.77,4.473707646,522701998.7,1.461652,170777458.5,0,0,22.79974862,0,0,0.618244742,72234886.12,18.32604097,2141190038,,,1330,360,,13710,0,,,0.677029404,,,35.95996118,4420,210,0,0,61.04162339,1540,,150,0,25.93072444,62.20079017,27.15643914,,1.867985623,1.049246083,,,14070,0.677029404,0.81873954
IDA only,IDX,2012,13.2713495,,1.055728245,,8.581767985,,3.158309455,,1.343948125,,24.12227004,1.192976172,,1.834809472,,15.54050206,,,,331270,3106998.648,,8835391.574,0.068588988,,,4.33549198,,,33.81341975,886770,214220,1.861119251,0.537574904,28.87094456,395300,,47670,2.064516492,22.13965139,62.58850858,32.93336169,,,,,,11942390.24,8.867291615,
IDA only,IDX,2013,13.98761727,,1.056997996,,8.598306625,,3.083403682,,1.206760265,,24.52725428,1.02408878,,1.736887027,,15.92894766,,,,337850,3326429.18,,8965129.281,0.046915551,,,4.005381082,,,,911820,227140,1.562524252,0.482688144,,405570,,51010,1.968150732,21.21541324,63.3569054,33.62674352,,,,,,12291558.46,8.065659761,
Isle of Man,IMN,2017,,,,,,,,,,,,0,0,,,,,,,,,,6759,,,,0,,,,,,0,,,,,,,,99.075,,,,,4.229107195,3.721769991,6759,0,
