Country Name,Country Code,Year,average_value_Age dependency ratio (% of working-age population),"average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)",average_value_Population ages 15-64 (% of total population),"average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)",average_value_Population ages 65 and above (% of total population),"average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)",average_value_Population growth (annual %),"average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total",average_value_Sex ratio at birth (male births per female births)
Albania,ALB,2019,46.20352176,20.76473565,25.43878611,6.937490807,7.489100311,68.39780528,955875,68.22748719,996330,68.5620592,1952204,8.085760271,8.261469813,8.132785717,8.952709497,6.886434608,8.088029261,5.285306563,5.903523693,5.617101139,5.194012756,6.535971284,5.615955985,6.903901203,6.233360717,7.320058722,6.787225122,6.522676872,6.036672041,14.20263062,210750,15.04269769,194613,13.39221495,405370,4.976352919,4.556768715,3.830699908,3.498331385,3.101133702,2.770344665,3.134511162,2.566770181,-0.426007367,1401011,49.08610569,1453180,50.91389431,2854191,1.084
Armenia,ARM,2020,48.44552785,17.52084986,30.92467798,5.049165747,6.545736063,67.36477569,1066362,67.94334709,929814,66.71325571,1996176,5.324669781,6.667422423,7.72093047,7.981936463,8.981597172,9.056593485,8.183948003,7.771568298,6.617066596,6.235349744,5.68478745,5.245356582,5.916200644,5.051203698,7.272503691,6.117107337,7.192477542,6.040981613,11.80287948,213227,13.58577675,136519,9.795106285,349747,4.888794874,3.916923229,3.220606478,2.424830331,1.685582614,1.144038337,3.790792788,2.309314388,0.185983345,1569487,52.96534125,1393747,47.03465875,2963234,
Azerbaijan,AZE,2013,39.51680267,7.947810694,31.56899198,8.046543831,8.794393351,71.67595692,3433875,72.46560347,3315721,70.87640026,6749582,9.872386647,10.05304543,9.765862211,9.757524063,8.074831776,8.182010622,6.912379363,6.724006548,6.939820363,6.459026034,7.433694837,6.866180229,7.113274584,6.596953164,5.151857137,4.694927108,3.154952719,2.748333711,5.696668509,315724,6.662763664,220725,4.718197352,536444,1.773205219,1.430980565,1.732213108,1.280442465,1.785676476,1.23094226,1.371668862,0.775832061,1.293447027,4738628,50.32099095,4678173,49.67900905,9416801,1.151
Azerbaijan,AZE,2015,40.07645938,8.035522328,32.04093705,7.05752811,7.926594331,71.3895879,3496370,72.125932,3392252,70.64616928,6888625,9.092248028,9.459011597,9.859630121,9.774433107,8.580584118,8.667262676,7.005813545,6.911895196,6.701194069,6.285061772,6.973460912,6.379746698,7.331180904,6.73708101,5.752707568,5.209383372,3.771584625,3.295699521,5.736523206,326774,6.740952226,226763,4.72250989,553537,2.067486267,1.663856817,1.427487491,1.071585271,1.757074759,1.160151387,1.488903709,0.826916414,1.191209858,4847591,50.23753627,4801750,49.76246373,9649341,1.138
China,CHN,2014,37.1756399,12.29971303,24.87592687,6.147141959,6.568751299,72.89924074,484143639,72.96887286,510398792,72.83330743,994542472,7.336751166,7.646755033,9.101252902,9.173383216,6.928836057,6.916691928,7.20697567,7.176342571,8.947520912,8.840669422,8.87091564,8.629031897,6.940822752,6.818878389,5.831226228,5.671594493,5.657429577,5.391209186,8.966397405,64565697,9.731174297,57759895,8.242269088,122325870,3.556949507,3.291951159,2.454348821,2.240598488,1.855067977,1.52945381,1.864807993,1.180265632,0.506311592,663493378,48.63358264,700776622,51.36641736,1364270000,1.142
Algeria,DZA,2012,49.77821874,8.336692441,41.4415263,8.982718334,9.144531378,66.76538119,12364676,66.79154916,12594827,66.73971308,24959503,10.05688315,10.13672794,9.971658898,9.971924424,8.866692999,8.810849425,7.272453352,7.151177674,6.07528407,5.930499768,5.217110364,5.114531319,4.232712717,4.245165067,3.514283665,3.605355847,2.60175161,2.628950236,5.566025156,1083805,5.85450156,997017,5.283171299,2080797,1.928044089,1.813395107,1.632511424,1.43892162,1.207335476,1.078861353,1.086610571,0.951993219,1.951463675,18512336,49.51954316,18871563,50.48045684,37383899,1.05
Haiti,HTI,2010,68.76848417,7.560531391,61.20795278,10.5717912,10.95632293,59.25277119,3020288,59.9046813,2874959,58.58302454,5895247,9.967763644,10.05771784,9.149071675,9.094497294,7.076983861,6.804836276,5.512490224,5.097345998,4.828134585,4.567116217,4.236245501,3.980625553,3.459423308,3.342825617,2.92858357,2.756742493,2.174193739,1.92499432,4.479822846,246687,4.892813572,199024,4.055511009,445712,1.869363522,1.655956858,1.417860167,1.170230433,0.888388982,0.706022115,0.717200901,0.523301603,1.532102807,5041823,50.67506135,4907495,49.32493865,9949318,1.05
IDA only,IDX,2012,80.3775563,6.173050426,72.44216594,10.58551446,10.82943879,55.98627164,268207179,56.3623073,262683840,55.60745529,530891095,9.192930293,9.258531583,8.044737975,7.919127856,6.803177536,6.636175156,5.608369845,5.484332692,4.705299773,4.591350979,3.922011219,3.810199896,3.147978436,3.023762094,2.445079749,2.306825202,1.907208014,1.747711048,3.456060645,17740870,3.728149197,15031743,3.18206461,32772175,1.471919539,1.309124711,1.047123963,0.907525995,0.668362037,0.554120394,0.540743659,0.41129351,2.207462088,475862668,50.18312958,472389608,49.81687042,950126838,1.038758951
IDA only,IDX,2013,79.64270863,6.17827026,71.66571765,10.58556407,10.83773157,56.22905837,275361884,56.60781797,269556002,55.84767756,544916240,9.209749584,9.292743595,8.017898011,7.905828799,6.875739838,6.692262856,5.645550807,5.50846482,4.724714273,4.607564112,3.951089313,3.832221607,3.196369348,3.071236716,2.483822875,2.340289627,1.91731985,1.759333857,3.473983275,18256607,3.753121739,15410142,3.192734107,33666398,1.476166157,1.308546356,1.056547929,0.912193316,0.669535246,0.554267365,0.550872406,0.41772707,2.195478768,486437905,50.19477019,482662867,49.80522981,970986671,1.038749117
Isle of Man,IMN,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376260135,,,,,83610,
Israel,ISR,2013,62.61702948,17.62109213,44.99593735,7.391115342,7.961121181,61.49417939,2492818,61.24908922,2463306,61.74421885,4956123,6.966001658,7.407451904,7.053712557,7.302145308,7.072401686,7.191824113,6.807348873,6.879299628,6.013393705,6.041182401,5.223918808,5.16153802,4.922076572,4.714846872,4.939767241,4.585538103,4.859352783,4.499271316,10.83594349,491795,12.08352044,381541,9.563546994,873323,3.63214264,3.343458298,2.502167171,2.124518781,2.282121877,1.726380451,3.667088751,2.369189463,1.866052895,4069967,50.49900231,3989533,49.50099769,8059500,1.055
Kiribati,KIR,2013,63.72810878,5.772908004,57.95520078,10.47806514,11.11278763,61.07702289,33896,61.77848251,31999,60.3526971,65894,9.380866459,9.805733685,8.724734358,8.579781215,7.13908178,6.774801962,5.695591157,5.409279517,5.278218237,4.930215013,5.471412689,5.152772539,4.21747134,3.996605055,3.080175698,2.676348548,2.312865657,1.914371935,3.525813328,2345,4.273971604,1460,2.753677857,3804,1.695007928,1.269332327,1.228425101,0.763862693,0.723567901,0.435684647,0.626970675,0.284798189,1.426421878,54867,50.85598821,53020,49.14401179,107887,1.068
Nicaragua,NIC,2019,54.59018445,8.437519189,46.15266527,8.757654347,9.641957307,64.68715463,2163375,65.17133958,2070723,64.18888004,4234100,8.617272563,9.367684403,8.657700107,9.109065637,8.26469136,8.391672122,7.67641336,7.4382266,6.477022725,5.932267488,5.358426929,4.680804369,4.380152667,3.726459896,3.777836488,3.204293636,3.204169038,2.696448587,5.457992374,204877,6.171888156,152375,4.723365026,357253,2.344677045,1.881658434,1.335976688,1.065628348,1.132392976,0.884908295,1.358841447,0.89116995,1.229759088,3319519,50.71449818,3225984,49.28550182,6545503,1.05
"Korea, Dem. People's Rep.",PRK,2011,45.41596036,13.15476367,32.2611967,7.843077418,8.555516843,68.76824207,8493334,67.3220366,8474126,70.28146087,16967458,7.441039653,8.078963539,7.262234663,7.863958877,6.148710298,6.62222485,8.277914857,8.816310763,9.037958925,9.501200631,6.561147573,6.768840049,6.791973893,6.855649715,3.795012658,3.604612366,4.162966663,3.614183241,9.046298655,1447346,11.47232411,784682,6.507880256,2232029,4.205500025,3.239865799,3.471201086,2.101114062,2.170541026,0.851973802,1.625081969,0.314926593,0.506081341,12615979,51.13191976,12057413,48.86808024,24673392,1.05
