Country Name,Country Code,average_value_Population ages 0-14 (% of total population),"average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)",average_value_GDP per capita (current US$),average_value_GDP growth (annual %),"average_value_GDP per capita, PPP (current international $)","average_value_GNI per capita, Atlas method (current US$)",average_value_Gross domestic savings (% of GDP),average_value_Rural population (% of total population),average_value_Rural population growth (annual %),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)",average_value_Forest area (% of land area),average_value_Agricultural land (% of land area),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),average_value_People practicing open defecation (% of population),average_value_Total natural resources rents (% of GDP),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Population growth (annual %),average_value_Population ages 15-64 (% of total population),average_value_Population ages 65 and above (% of total population),average_value_Age dependency ratio (% of working-age population),average_value_Mobile cellular subscriptions (per 100 people),average_value_Fixed broadband subscriptions (per 100 people),average_value_Individuals using the Internet (% of population),average_value_Fixed telephone subscriptions (per 100 people)
Burundi,BDI,45.17256753,26.12249947,22.14746094,,,305.549646,-3.900003086,841.6460259,260.0,2.164415581,87.922,2.814010518,30.68083011,10.8894081,79.16666667,62.09432063,45.74527589,2.59323255,9.212709114,14.74127609,3.128932148,52.28725702,2.312095315,91.25120127,56.64970019,0.03374505,5.2,0.181569357
Central African Republic,CAF,45.20481086,,,,,424.449106,0.081070515,720.3241096,390.0,2.247273878,61.096,0.783431087,37.3635796,36.28206363,8.154354875,41.2766431,15.58824143,24.87701778,13.02719792,18.51591173,1.674661628,53.26519409,2.81479015,87.73984393,27.51062987,0.016219721,4.0,0.043281972
Djibouti,DJI,32.05532791,40.86059189,39.40647125,5.345320225,4.568019867,2802.181971,6.652650372,4692.550689,2870.0,16.33329607,22.085,0.891830695,1.271718563,0.245901639,,75.78704503,61.41890482,17.152299,0.66101077,11.68825478,1.687131961,65.12697581,4.315131516,53.54627145,34.3930424,2.643893334,22.9,2.505708468
Fragile and conflict affected situations,FCS,40.56151216,,,,,1928.978592,2.563330135,4418.85411,2002.722766,,59.04163951,1.616129105,,23.70963519,33.44700152,64.5190845,40.97296512,19.20735416,14.41544038,10.34726044,2.261210879,55.57473254,3.406058335,81.38884406,66.33588957,1.478128664,22.77505021,2.617778518
Croatia,HRV,14.51194001,100.0797729,102.4584808,67.65422821,79.05442047,14609.52435,-0.198369263,20804.38888,14040.0,18.22270654,44.845,-0.600750996,3.698754403,34.31022159,23.83488206,,96.56523542,0.0,,,-0.445069569,64.20620145,21.25223524,55.74817985,106.58744,25.11342137,78.32093274,31.66919472
Maldives,MDV,23.31530044,,,,,7076.739821,7.265129068,12712.34321,5960.0,,59.331,1.065180442,,2.733333333,,99.11409317,95.06128912,0.0,0.006633302,11.80304999,4.426900708,75.39536331,3.858788001,32.63432717,170.7902219,6.163672,59.09258997,4.445103383
San Marino,SMR,,95.52239227,96.1016922,55.84883118,68.125,57297.51331,-8.314773571,57954.42968,,,3.441,-4.233893694,,16.66666667,16.66666667,100.0,100.0,0.0,0.0,,0.697889703,,,,109.1511461,35.81661891,,47.75549188
Suriname,SUR,27.43314589,,,,,9168.237157,-3.411095864,17210.27034,8890.0,,33.724,1.338685677,8.732355383,98.01424359,0.512820513,94.85724987,85.13041704,3.825575448,20.86696949,13.39175223,1.111222577,65.09754409,6.435698742,53.61545543,158.7089866,6.77792984,37.4,15.52026253
British Virgin Islands,VGB,,96.63865662,97.31343079,,,,,,,,55.186,2.174715029,,24.26666667,46.66666667,99.48424658,96.85191439,0.0,,,1.888798534,,,,164.5432395,25.78127759,37.4,44.18941347
Vanuatu,VUT,38.41019714,,,,,2695.666186,0.371578452,2832.178337,2780.0,15.06207866,74.726,2.333793124,,36.28383921,15.34044299,89.28986064,53.6323966,0.864286017,0.934715198,8.561843745,2.786213562,57.55055175,3.737949433,73.76028024,59.13531498,1.731416358,18.8,2.170238889
