Country Name,Country Code,average_value_Population ages 0-14 (% of total population),"average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)",average_value_GDP per capita (current US$),average_value_GDP growth (annual %),"average_value_GDP per capita, PPP (current international $)","average_value_GNI per capita, Atlas method (current US$)",average_value_Gross domestic savings (% of GDP),average_value_Rural population (% of total population),average_value_Rural population growth (annual %),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)",average_value_Forest area (% of land area),average_value_Agricultural land (% of land area),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),average_value_People practicing open defecation (% of population),average_value_Total natural resources rents (% of GDP),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Population growth (annual %),average_value_Population ages 15-64 (% of total population),average_value_Population ages 65 and above (% of total population),average_value_Age dependency ratio (% of working-age population),average_value_Mobile cellular subscriptions (per 100 people),average_value_Fixed broadband subscriptions (per 100 people),average_value_Individuals using the Internet (% of population),average_value_Fixed telephone subscriptions (per 100 people)
Burundi,BDI,1.7062300467320095,-2.8304762457211794,-2.8781985751752903,-0.10707048492526167,-0.0807852527728566,-1.9592157204561405,-1.6279003138588481,-2.3026717814471076,-2.016379277815393,-1.3075451208632318,1.914179781822457,1.749926731782503,1.5842000523247126,-0.9347300985175617,2.35516120042077,-1.5915542490133454,-1.0961339050587686,0.006483688130297114,0.9881076182564299,0.49936519515079314,1.578334644811211,-1.8581003072394553,-1.0522966781030783,1.993895031767967,-1.360694147922061,-0.9771548249800711,-1.6002347400090264,-1.9281899354819851
Central African Republic,CAF,1.7094755514261628,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-1.9309686138083462,-0.6269685749810883,-2.3026717814471076,-2.016379277815393,-1.3019136113150684,0.8816977027392388,0.3161424231059853,1.7980484562378876,0.18832827423844448,-1.5538134307314735,-2.898434652719484,-2.20328480940558,1.476174871639564,1.2976150894345535,1.3434807768879944,0.33114472482907636,-1.696526383756174,-0.9610559411764437,1.776127373582548,-2.2362940213299844,-0.9781816966034427,-1.6464062294761155,-2.0326021314768052
Djibouti,DJI,0.38589301079172106,-2.1205705432532977,-2.0811520184359096,-1.7788195739182826,-1.7960835565801954,-0.5800204012156188,1.0252748931599747,-0.7950466658595491,-0.5109792159439801,-0.34454939623966746,-0.8348069107745258,0.39268296845197304,-1.3600917170066578,-1.4054677506857869,0.026936454203401967,-0.7319601292600212,-0.5207102019336225,1.2122382912310334,-0.7831309672038533,-0.1833769566577248,0.3418393469110949,0.26326701276847436,-0.6887391351456961,-0.34449251296053196,-2.0294844191762427,-0.7782088405645102,-0.9192052703694639,-0.98694541104327
Fragile and conflict affected situations,FCS,1.242096787284672,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.8474680080418687,-0.002872492665867735,-0.8503156688977966,-0.7908680871435664,-0.0011610164429851956,0.7913047556498182,0.9041072837007128,0.02220337330151988,-0.3677211318087589,-0.16154339204553014,-1.4393337921083398,-1.2713390696062885,1.2920758223080906,1.3896499917581406,-0.48326132309034664,0.8341723963384122,-1.3149464229904007,-0.8537388550148687,1.382250523433823,-1.0696338600750606,-0.8670636390798697,-0.9240128686302138,-0.9597111030037301
Croatia,HRV,-1.3799651614505213,0.731904057694868,0.8306827973882465,1.3878656280098942,1.5063823015414284,0.6029853677361781,-0.6972260409156286,0.5746790650448294,0.7243026893792074,-0.2161345785635946,0.1666451156686129,-0.6612232099041017,-0.5480789229482738,0.10111826541687835,-0.6906563045952996,0.45844234869137607,0.7696120198974026,-0.9456557672419434,-0.16436445823424067,-0.08899149956015054,-1.4867477137593534,0.11113746317689513,2.3853999201732394,-0.2079343705167315,0.139884908847031,0.9344227374485751,1.2131839065148344,0.9448251668551774
Maldives,MDV,-0.49384863440790366,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,0.08364280236737633,1.1792658583254698,0.12158184299961151,0.057569599837600405,-0.0011610164429851956,0.8040367701086529,0.5150845565736663,0.02220337330151988,-1.2954544050038057,0.026936454203401967,0.7324521254952644,0.7143978539175679,-0.9456557672419434,-1.2715460479491902,-0.15770549198894035,2.691479195445247,1.9598011836448048,-0.7715669577158061,-1.6414112520711404,2.0691141905888015,-0.5099306603842074,0.4733495517859744,-0.6058567273768539
San Marino,SMR,-0.08310991639940976,0.5123837557890895,0.5371169222572436,0.7878875945834775,1.0218101157594124,1.5821668990602713,-2.7378732360342353,1.5170638316814604,-0.057599375675599127,-0.0011610164429851956,-1.6551527623125697,-3.0800368822409276,0.02220337330151988,-0.679215325714479,-1.085241009724108,0.7880670841748757,0.8957120419671921,-0.9456557672419434,-1.2779937526972864,-0.08899149956015054,-0.5065399302800332,0.23656460732775056,-0.35428835388787167,-0.28496489403475805,0.21692170899073326,1.7502224312982717,-0.03502146831309645,1.2913478549046664
Suriname,SUR,-0.07936021966373512,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,0.26915582106981933,-1.5049780057298467,0.4002255653125437,0.36870213990606376,-0.0011610164429851956,-0.3226847606966836,0.7082055486890856,0.2654954784040477,2.6325280718732333,-1.9503672585622263,0.4652184207555901,0.349807163844639,0.22599368600769573,1.730601572185165,0.19757338614002118,-0.152063519625676,0.25840432924706724,-0.3038493313689985,-0.340201855004157,1.7060851720538224,-0.46311181433899323,-0.36129977264213853,0.354706718711339
British Virgin Islands,VGB,-0.08310991639940976,0.566152072946013,0.5930767979094489,-0.10707048492526167,-0.0807852527728566,-0.01795427249329572,0.06321024123098566,0.07949188514992273,-0.057599375675599127,-0.0011610164429851956,0.6216545798798826,1.298522651379464,0.02220337330151988,-0.34308491891784715,0.5661520511454333,0.7556894072331954,0.7801368240293778,-0.9456557672419434,-0.16436445823424067,-0.08899149956015054,0.5147896430107101,0.23656460732775056,-0.35428835388787167,-0.28496489403475805,1.8813986273071817,0.985326861919365,-0.36129977264213853,1.2256108432160944
Vanuatu,VUT,1.0255526835580207,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.6077785695317366,-0.5539283241135433,-1.259394287174573,-0.5357653229464349,-0.4309483839259162,1.4814249048666546,1.4108470810388485,0.02220337330151988,0.1884068040315626,-1.158244895801204,0.11571200372100864,-0.8065751674995,-0.48197895543159086,-0.6343737838779313,-0.8825311323859629,1.2844174127891175,-0.9885032686744113,-0.7934995482773927,0.9091416035654115,-1.286003913416842,-0.8477580042498228,-1.076957859382018,-1.0739996189553889
